 -0.0684776922  -1.4037050202  -0.0081004768   1.0045047570   0.9955593429   1.0416972483
 -0.0420437970  -0.8676298761  -0.0086990622   1.0080479372   0.9918133831   1.0430080247
 -0.0285650194  -0.5909717415  -0.0089977579   1.0099167891   0.9898721622   1.0436520013
 -0.0180386312  -0.3737242123  -0.0092268160   1.0113968486   0.9883509848   1.0441373400
 -0.0087671438  -0.1817383728  -0.0094249482   1.0127028878   0.9870200398   1.0445407843
  0.0000000000   0.0001562575  -0.0096088299   1.0139311138   0.9857779502   1.0448938170
  0.0087671438   0.1821983209  -0.0097891036   1.0151483886   0.9845561275   1.0452160311
  0.0180386312   0.3746599970  -0.0099756889   1.0164243405   0.9832854281   1.0455253800
  0.0285650194   0.5928429330  -0.0101824546   1.0178651564   0.9818631222   1.0458460471
  0.0420437970   0.8713018271  -0.0104395514   1.0197109101   0.9800606601   1.0462263455
  0.0684776922   1.4127979187  -0.0109205605   1.0233287459   0.9765900765   1.0468869403
