 -0.0684776922  -0.0172679089  -1.4006568749   1.0071988467   0.9840588257   1.0186437921
 -0.0420437970  -0.0167871142  -0.8693194924   1.0030126966   0.9872289616   1.0160674436
 -0.0285650194  -0.0165259734  -0.5950224190   1.0007924266   0.9889885681   1.0146540054
 -0.0180386312  -0.0163137426  -0.3795779254   0.9990277126   0.9904227792   1.0135104838
 -0.0087671438  -0.0161205199  -0.1891427049   0.9974641011   0.9917175874   1.0124864670
  0.0000000000  -0.0159323404  -0.0086763924   0.9959869363   0.9929604022   1.0115122427
  0.0087671438  -0.0157389796   0.1719790115   0.9945160862   0.9942165982   1.0105364654
  0.0180386312  -0.0155291974   0.3630241057   0.9929676734   0.9955597743   1.0095021655
  0.0285650194  -0.0152850899   0.5796658804   0.9912132073   0.9971087027   1.0083184581
  0.0420437970  -0.0149647721   0.8562632328   0.9889608407   0.9991410653   1.0067748883
  0.0684776922  -0.0143185555   1.3945063397   0.9845340765   1.0032779058   1.0036593431
